time_us,record_type,payload_length,value_count,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7
3732626,56,32,8,208634,993658,1579267,1821782,1907804,2175561,1627374,1893428
3784387,56,32,8,209060,993354,1578759,1821160,1907216,2174812,1627094,1892767
3786235,56,32,8,209450,993063,1578283,1820498,1906542,2174119,1626839,1892183
3788134,56,32,8,209879,992783,1577751,1819839,1905860,2173415,1626561,1891471
3790030,56,32,8,210309,992512,1577282,1819166,1905185,2172696,1626246,1890913
3791924,56,32,8,210672,992239,1576863,1818599,1904597,2172017,1626053,1890327
3793825,56,32,8,211097,991993,1576418,1817968,1904027,2171435,1625819,1889743
3795720,56,32,8,211515,991769,1576035,1817422,1903461,2170908,1625630,1889247
3797621,56,32,8,211950,991541,1575595,1816868,1902886,2170257,1625447,1888739
3799508,56,32,8,212416,991332,1575182,1816347,1902347,2169639,1625287,1888218
3801404,56,32,8,212792,991078,1574776,1815741,1901746,2169049,1625014,1887651
3803301,56,32,8,213212,990819,1574283,1815145,1901166,2168421,1624819,1887077
3805194,56,32,8,213588,990596,1573883,1814550,1900562,2167803,1624589,1886493
3807090,56,32,8,214001,990358,1573431,1813914,1900006,2167142,1624349,1885906
3808983,56,32,8,214443,990093,1572954,1813284,1899363,2166451,1624088,1885295
3810880,56,32,8,214820,989850,1572511,1812664,1898730,2165766,1623803,1884726
3812776,56,32,8,215225,989563,1572036,1812069,1898056,2165103,1623539,1884136
3814671,56,32,8,215605,989310,1571583,1811404,1897472,2164469,1623330,1883559
3816566,56,32,8,216018,989059,1571111,1810811,1896862,2163834,1623075,1882971
3818461,56,32,8,216418,988781,1570656,1810178,1896199,2163125,1622808,1882389
3820360,56,32,8,216805,988463,1570138,1809538,1895503,2162417,1622512,1881664
3822257,56,32,8,217225,988243,1569699,1808890,1894931,2161778,1622253,1881098
3824152,56,32,8,217599,987917,1569198,1808200,1894193,2160984,1621929,1880422
3826046,56,32,8,217977,987641,1568751,1807570,1893605,2160372,1621645,1879780
3827942,56,32,8,218370,987400,1568270,1806995,1892990,2159664,1621409,1879246
3829844,56,32,8,218791,987152,1567762,1806333,1892347,2158994,1621177,1878635
3831738,56,32,8,219184,986889,1567323,1805714,1891704,2158311,1620902,1878099
3833639,56,32,8,219593,986622,1566868,1805106,1891121,2157671,1620648,1877475
3835534,56,32,8,220002,986346,1566427,1804554,1890529,2157104,1620397,1876945
3837430,56,32,8,220405,986114,1566018,1803994,1889960,2156471,1620199,1876410
3839324,56,32,8,220765,985894,1565623,1803382,1889380,2155845,1619985,1875786
3841219,56,32,8,221179,985639,1565166,1802809,1888772,2155217,1619754,1875236
3843118,56,32,8,221596,985432,1564736,1802181,1888180,2154569,1619502,1874679
3845014,56,32,8,221944,985181,1564368,1801619,1887635,2153975,1619291,1874147
3846910,56,32,8,222369,984966,1563900,1801071,1887085,2153417,1619112,1873647
3848805,56,32,8,222753,984676,1563535,1800528,1886550,2152810,1618941,1873145
3850699,56,32,8,223167,984436,1563025,1799934,1885966,2152233,1618725,1872609
3852603,56,32,8,223529,984191,1562630,1799372,1885402,2151655,1618432,1871963
3854493,56,32,8,223939,983977,1562160,1798735,1884802,2150963,1618197,1871378
3856387,56,32,8,224350,983712,1561717,1798078,1884128,2150279,1617878,1870730
3858283,56,32,8,224718,983471,1561252,1797465,1883445,2149582,1617593,1870133
3860175,56,32,8,225085,983147,1560780,1796797,1882840,2148874,1617341,1869549
3862077,56,32,8,225505,982867,1560305,1796157,1882223,2148237,1617113,1868982
3863971,56,32,8,225856,982641,1559822,1795588,1881622,2147560,1616811,1868375
3865875,56,32,8,226234,982379,1559394,1794984,1880998,2146926,1616598,1867822
3867771,56,32,8,226641,982160,1558912,1794381,1880347,2146257,1616285,1867172
3869667,56,32,8,227022,981884,1558455,1793735,1879739,2145635,1616053,1866540
3871562,56,32,8,227393,981610,1557960,1793093,1879141,2144908,1615751,1865915
3873455,56,32,8,227803,981321,1557513,1792451,1878479,2144241,1615443,1865290
3875353,56,32,8,228166,981091,1557027,1791801,1877821,2143619,1615249,1864746
3877249,56,32,8,228562,980836,1556648,1791208,1877257,2143015,1615049,1864250
3879141,56,32,8,228932,980610,1556204,1790669,1876723,2142445,1614828,1863741
3881035,56,32,8,229314,980382,1555781,1790126,1876197,2141873,1614640,1863257
3882929,56,32,8,229750,980149,1555401,1789603,1875623,2141309,1614492,1862740
3884828,56,32,8,230131,979926,1555004,1789068,1875027,2140630,1614239,1862160
3886724,56,32,8,230527,979717,1554544,1788500,1874440,2140074,1614009,1861645
3888628,56,32,8,230896,979462,1554096,1787902,1873848,2139443,1613815,1861091
3890515,56,32,8,231203,979274,1553694,1787344,1873328,2138825,1613512,1860498
3892411,56,32,8,231627,979043,1553300,1786773,1872752,2138196,1613320,1859932
3894313,56,32,8,232039,978793,1552874,1786197,1872198,2137674,1613095,1859416
3896210,56,32,8,232421,978596,1552434,1785663,1871623,2137085,1612852,1858928
3898111,56,32,8,232806,978373,1552063,1785116,1870991,2136396,1612658,1858374
3900008,56,32,8,233217,978105,1551573,1784545,1870383,2135760,1612420,1857849
3901904,56,32,8,233513,977887,1551147,1783887,1869796,2135120,1612133,1857256
3903800,56,32,8,233933,977592,1550654,1783288,1869166,2134407,1611841,1856670
3905696,56,32,8,234250,977349,1550250,1782578,1868600,2133816,1611627,1856099
3907603,56,32,8,234626,977139,1549774,1782042,1867988,2133219,1611327,1855443
3909491,56,32,8,234995,976859,1549352,1781413,1867367,2132524,1611005,1854897
3911387,56,32,8,235385,976559,1548883,1780810,1866780,2131860,1610801,1854286
3913283,56,32,8,235820,976349,1548432,1780220,1866179,2131248,1610557,1853778
3915176,56,32,8,236154,976048,1547969,1779629,1865541,2130580,1610339,1853208
3917077,56,32,8,236513,975834,1547502,1779010,1864944,2129908,1610016,1852579
3918972,56,32,8,236892,975596,1547079,1778377,1864294,2129241,1609735,1852029
3920875,56,32,8,237298,975335,1546601,1777784,1863714,2128585,1609498,1851381
3922771,56,32,8,237647,975071,1546144,1777150,1863085,2127935,1609216,1850767
3924666,56,32,8,237992,974845,1545656,1776491,1862434,2127224,1608923,1850181
3926563,56,32,8,238345,974589,1545225,1775841,1861775,2126558,1608606,1849555
3928457,56,32,8,238717,974330,1544735,1775248,1861093,2125883,1608392,1849030
3930361,56,32,8,239122,974115,1544247,1774684,1860540,2125234,1608100,1848442
3932253,56,32,8,239476,973838,1543796,1774069,1859955,2124541,1607867,1847881
3934148,56,32,8,239841,973629,1543346,1773460,1859327,2123934,1607604,1847293
3936043,56,32,8,240232,973335,1542914,1772861,1858700,2123254,1607319,1846680
3937939,56,32,8,240577,973122,1542409,1772236,1858101,2122624,1607020,1846082
3939839,56,32,8,240949,972841,1541959,1771564,1857450,2121897,1606770,1845452
3941735,56,32,8,241299,972569,1541503,1770920,1856851,2121175,1606470,1844878
3943632,56,32,8,241639,972325,1541007,1770258,1856240,2120525,1606183,1844287
3945524,56,32,8,242044,972117,1540573,1769703,1855676,2119985,1606043,1843757
3947420,56,32,8,242432,971856,1540117,1769087,1855097,2119322,1605717,1843221
3949319,56,32,8,242795,971598,1539672,1768498,1854479,2118661,1605489,1842672
3951215,56,32,8,243154,971398,1539234,1768000,1853980,2118145,1605334,1842133
3953113,56,32,8,243551,971205,1538850,1767390,1853383,2117545,1605091,1841628
3955010,56,32,8,243880,970954,1538446,1766864,1852859,2116925,1604860,1841095
3956903,56,32,8,244252,970730,1538043,1766275,1852244,2116306,1604622,1840484
3958797,56,32,8,244632,970502,1537644,1765714,1851675,2115713,1604418,1839957
3960694,56,32,8,245026,970324,1537179,1765083,1851100,2115105,1604120,1839405
3962599,56,32,8,245360,970079,1536735,1764603,1850552,2114537,1603989,1838974
3964485,56,32,8,245766,969884,1536383,1764102,1850048,2113964,1603757,1838484
3966379,56,32,8,246127,969659,1536004,1763576,1849458,2113377,1603599,1837977
3968274,56,32,8,246500,969409,1535520,1762939,1848902,2112757,1603304,1837392
3970171,56,32,8,246833,969160,1535097,1762377,1848280,2112135,1603063,1836848
3972071,56,32,8,247206,968942,1534702,1761830,1847745,2111524,1602841,1836248
3973965,56,32,8,247613,968716,1534264,1761182,1847119,2110905,1602517,1835631
3975859,56,32,8,247924,968471,1533801,1760554,1846472,2110212,1602261,1835062
3977781,56,32,8,248250,968208,1533334,1759912,1845837,2109601,1601979,1834402
3979661,56,32,8,248628,968005,1532901,1759393,1845338,2108990,1601781,1834021
3981560,56,32,8,249012,967826,1532527,1758837,1844815,2108424,1601659,1833503
3983462,56,32,8,249406,967605,1532146,1758331,1844204,2107925,1601392,1833055
3985370,56,32,8,249756,967378,1531734,1757880,1843744,2107329,1601228,1832547
3987270,56,32,8,250131,967187,1531313,1757299,1843133,2106715,1600984,1831987
3989169,56,32,8,250525,966938,1530919,1756625,1842527,2106011,1600670,1831289
3991077,56,32,8,250817,966637,1530434,1756072,1841916,2105407,1600374,1830743
3992975,56,32,8,251140,966396,1529970,1755382,1841299,2104676,1600138,1830167
3994882,56,32,8,251495,966208,1529520,1754842,1840648,2104055,1599782,1829605
3996778,56,32,8,251888,965964,1529096,1754210,1840020,2103491,1599551,1829054
3998676,56,32,8,252284,965786,1528614,1753632,1839462,2102788,1599302,1828517
4000572,56,32,8,252621,965400,1528080,1752955,1838851,2102090,1599070,1827936
4002468,56,32,8,252929,965218,1527661,1752450,1838168,2101573,1598745,1827456
4004373,56,32,8,253333,965057,1527309,1751871,1837618,2100928,1598573,1826880
4006276,56,32,8,253640,964804,1526918,1751309,1837131,2100343,1598365,1826340
4008175,56,32,8,254034,964508,1526473,1750753,1836547,2099828,1598183,1825751
4010081,56,32,8,254414,964439,1526070,1750162,1836001,2099163,1597919,1825276
4011984,56,32,8,254738,964196,1525678,1749640,1835419,2098524,1597640,1824719
4013891,56,32,8,255071,963972,1525306,1749033,1834847,2097893,1597424,1824163
4015789,56,32,8,255411,963665,1524735,1748505,1834285,2097285,1597090,1823621
4017692,56,32,8,255785,963385,1524342,1747860,1833626,2096635,1596906,1823057
